system:time_start,LST_Day_1km
1-Jan-21,38.867
9-Jan-21,41.083
17-Jan-21,36.704
25-Jan-21,40.509
2-Feb-21,40.589
10-Feb-21,44.26
18-Feb-21,37.606
26-Feb-21,38.654
6-Mar-21,40.995
14-Mar-21,38.532
22-Mar-21,36.552
30-Mar-21,38.328
7-Apr-21,38.674
15-Apr-21,40.165
23-Apr-21,37.814
1-May-21,36.041
9-May-21,36.201
17-May-21,35.134
25-May-21,33.59
2-Jun-21,27.02
10-Jun-21,30.382
18-Jun-21,29.306
26-Jun-21,31.623
4-Jul-21,28.386
12-Jul-21,27.824
20-Jul-21,26.5
28-Jul-21,27.364
5-Aug-21,25.408
13-Aug-21,27.226
21-Aug-21,28.6
29-Aug-21,26.07
6-Sep-21,29.422
14-Sep-21,28.381
22-Sep-21,27.894
30-Sep-21,29.581
8-Oct-21,30.641
16-Oct-21,31.72
24-Oct-21,29.121
1-Nov-21,32.271
9-Nov-21,31.638
17-Nov-21,34.252
25-Nov-21,34.726
3-Dec-21,33.055
11-Dec-21,34.66
19-Dec-21,35.675
27-Dec-21,37.473
